iter	Passed	Remaining
968	6284	201
969	6290	194
970	6297	188
971	6303	181
972	6311	175
973	6316	168
974	6322	162
975	6329	155
976	6336	149
977	6343	142
978	6349	136
979	6354	129
980	6361	123
981	6367	116
982	6374	110
983	6381	103
984	6389	97
985	6396	90
986	6402	84
987	6409	77
988	6415	71
989	6423	64
990	6432	58
991	6438	51
992	6444	45
993	6451	38
994	6457	32
995	6464	25
996	6470	19
997	6477	12
998	6483	6
999	6490	0
